50 3
0 0 1.000000
0 1 -0.335223
0 2 0.112374
1 0 1.000000
1 1 -0.277775
1 2 0.077159
2 0 1.000000
2 1 -0.477397
2 2 0.227908
3 0 1.000000
3 1 -0.364784
3 2 0.133068
4 0 1.000000
4 1 -0.952230
4 2 0.906741
5 0 1.000000
5 1 -0.635712
5 2 0.404129
6 0 1.000000
6 1 -0.141603
6 2 0.020051
7 0 1.000000
7 1 0.016301
7 2 0.000266
8 0 1.000000
8 1 -0.137232
8 2 0.018833
9 0 1.000000
9 1 0.156679
9 2 0.024548
10 0 1.000000
10 1 0.129790
10 2 0.016846
11 0 1.000000
11 1 0.998925
11 2 0.997850
12 0 1.000000
12 1 -0.512932
12 2 0.263100
13 0 1.000000
13 1 0.612640
13 2 0.375328
14 0 1.000000
14 1 -0.637552
14 2 0.406473
15 0 1.000000
15 1 -0.493583
15 2 0.243624
16 0 1.000000
16 1 -0.292517
16 2 0.085566
17 0 1.000000
17 1 -0.526745
17 2 0.277460
18 0 1.000000
18 1 -0.400229
18 2 0.160183
19 0 1.000000
19 1 0.283315
19 2 0.080267
20 0 1.000000
20 1 -0.807725
20 2 0.652419
21 0 1.000000
21 1 -0.069755
21 2 0.004866
22 0 1.000000
22 1 0.525995
22 2 0.276671
23 0 1.000000
23 1 -0.192214
23 2 0.036946
24 0 1.000000
24 1 0.890233
24 2 0.792514
25 0 1.000000
25 1 0.064171
25 2 0.004118
26 0 1.000000
26 1 0.457702
26 2 0.209491
27 0 1.000000
27 1 -0.238280
27 2 0.056777
28 0 1.000000
28 1 -0.902208
28 2 0.813979
29 0 1.000000
29 1 -0.266666
29 2 0.071111
30 0 1.000000
30 1 -0.375207
30 2 0.140780
31 0 1.000000
31 1 -0.512535
31 2 0.262692
32 0 1.000000
32 1 0.531606
32 2 0.282605
33 0 1.000000
33 1 -0.437638
33 2 0.191527
34 0 1.000000
34 1 -0.930810
34 2 0.866407
35 0 1.000000
35 1 -0.284293
35 2 0.080823
36 0 1.000000
36 1 0.639979
36 2 0.409573
37 0 1.000000
37 1 0.687861
37 2 0.473153
38 0 1.000000
38 1 -0.440105
38 2 0.193692
39 0 1.000000
39 1 0.829201
39 2 0.687574
40 0 1.000000
40 1 -0.228968
40 2 0.052426
41 0 1.000000
41 1 -0.350360
41 2 0.122752
42 0 1.000000
42 1 -0.956468
42 2 0.914832
43 0 1.000000
43 1 -0.657304
43 2 0.432049
44 0 1.000000
44 1 -0.439560
44 2 0.193213
45 0 1.000000
45 1 -0.398437
45 2 0.158752
46 0 1.000000
46 1 -0.684219
46 2 0.468155
47 0 1.000000
47 1 0.482491
47 2 0.232797
48 0 1.000000
48 1 -0.950252
48 2 0.902980
49 0 1.000000
49 1 -0.147660
49 2 0.021803
0 1.282406
1 1.197948
2 1.533563
3 1.302913
4 2.457749
5 1.801390
6 0.952915
7 0.836204
8 0.917021
9 0.667013
10 0.805507
11 1.040167
12 1.525305
13 0.743662
14 1.683955
15 1.430633
16 1.128437
17 1.494406
18 1.292810
19 0.703685
20 1.902548
21 0.840207
22 0.636992
23 1.033968
24 0.910567
25 0.799238
26 0.641702
27 1.016710
28 2.300656
29 1.225225
30 1.374698
31 1.628814
32 0.740853
33 1.356941
34 2.499059
35 1.155039
36 0.647362
37 0.706556
38 1.440296
39 0.873872
40 1.010634
41 1.189141
42 2.283389
43 1.618021
44 1.355730
45 1.188864
46 1.645358
47 0.608508
48 2.190041
49 1.040765
